Sponsor,Total Protocols,Distinct Brands
FOREST RESEARCH INSTITUTE,4,3
COLLABORATIVE NETWORK FOR NEURO-ONCOLOGY CLINICAL TRIALS (CONNECT),4,4
RTOG FOUNDATION,4,4
GB002 INC.,4,3
ITALFARMACO S.P.A.,4,2
SALIX PHARMACEUTICALS INC,4,1
POPULATION HEALTH RESEARCH INSTITUTE,4,3
ATEA PHARMACEUTICALS INC,4,4
"VERA THERAPEUTICS, INC",4,4
PRINCESS MARGARET PHASE I CONSORTIUM,4,4
SOLAEROMED INC,4,2
SINAI HEALTH SYSTEM,4,3
"ATARA BIOTHERAPEUTICS, INC",4,3
VERASTEM INCORPORATED,4,4
ALBIREO AB,4,2
ASCENTAGE PHARMA GROUP INC.,4,4
DAIICHI SANKYO PHARMA DEVELOPMENT,4,3
LIB THERAPEUTIC LLC,4,1
ASCENDIS PHARMA GROWTH DISORDERS A/S,4,2
AXOVANT SCIENCES LTD,4,1
CIUSSS DU NORD-DE-L'ILE-DE-MONTRÉAL - HÔPITAL DU SACRÉ-COEUR DE MONTRÉAL.,4,4
ASCENDIS PHARMA ENDOCRINOLOGY DIVISION A/S,4,2
"NUVALENT, INC.",4,3
NSABP FOUNDATION INC,4,4
CENTRE INTÉGRÉ UNIVERSITAIRE DE SANTÉ ET DE SERVICES SOCIAUX,4,4
NOVA SCOTIA HEALTH AUTHORITY,3,3
"KINIKSA PHARMACEUTICALS, LTD.",3,2
BIOBLAST PHARMA LTD,3,2
KYOWA KIRIN PHARMACEUTICAL DEVELOPMENT INC,3,3
BIOGEN CANADA INC,3,3
LABORATOIRES THEA,3,3
LAURENT PHARMACEUTICALS,3,1
BIOHAVEN THERAPEUTICS LTD,3,2
"APOGEE THERAPEUTICS, INC",3,2
ALCON RESEARCH LIMITED,3,3
"LONGBOARD PHARMACEUTICALS, INC.",3,1
BIOVERATIV THERAPEUTICS INC,3,3
"MAPLIGHT THERAPEUTICS, INC.",3,2
"MARINUS PHARMACEUTICALS, INC.",3,1
ADC THERAPEUTICS SA,3,3
AQUINOX PHARMACEUTICALS INC,3,1
