Medical Condition,Protocol Count
IRON DEFICIENCY,4
LATERAL CANTHAL LINES,4
LIVER TRANSPLANTATION,4
LONG COVID,4
METASTATIC MALIGNANCY,4
MULTIFOCAL MOTOR NEUROPATHY (MMN),4
MYELOID MALIGNANCIES,4
NEUROFIBROMATOSIS TYPE I,4
NOCTURIA,4
OPIOID-INDUCED CONSTIPATION,4
ORNITHINE TRANSCARBAMYLASE DEFICIENCY,4
ORTHOSTATIC HYPOTENSION,4
OVARIAN CARCINOMA,4
OVARIAN STIMULATION,4
PATENT DUCTUS ARTERIOSUS (PDA),4
PERITONEAL CARCINOMATOSIS,4
PERTUSSIS,4
POLYMYALGIA RHEUMATICA,4
POMPE DISEASE,4
POST-ESSENTIAL THROMBOCYTHEMIA MYELOFIBROSIS,4
POST-MENOPAUSAL VASOMOTOR SYMPTOMS,4
POSTPARTUM DEPRESSION,4
PREMATURE LABOUR,4
PRIMARY BRAIN TUMOUR,4
PRIMARY HYPERLIPIDEMIA,4
PROTOPORPHYRIA,4
PULMONARY DISORDERS,4
PULMONARY EMBOLISM,4
PYODERMA GANGRENOSUM,4
SMOKING CESSATION,4
THROMBOTIC THROMBOCYTOPENIC PURPURA,4
TOURETTE'S DISORDER,4
UPPER RESPIRATORY TRACT INFECTION,4
URINARY RETENTION,4
VASOVAGAL SYNCOPE,4
VULVOVAGINAL ATROPHY,4
X-LINKED HYPOPHOSPHATEMIA,4
CENTRAL NERVOUS SYSTEM MALIGNANCY,3
PERIPHERAL ARTERY DISEASE,3
PANCREATITIS,3
22Q11 DELETION SYNDROME,3
CHOROIDEREMIA,3
ORGAN TRANSPLANTATION,3
THORACIC SURGERY,3
CHRONIC SCROTAL PAIN,3
OPEN ANGLE GLAUCOMA,3
ONYCHOMYCOSIS,3
LIVER / HEPATIC DYSFUNCTION,3
NONSENSE MUTATION DYSTROPHINOPATHY,3
HER2-LOW UNRESECTABLE AND/OR METASTISTIC BREAST CANCER,3
HER2 POSITIVE ADVANCED GASTROESOPHAGEAL ADENOCARCINOMA,3
COMPLEX REGIONAL PAIN SYNDROME (CRPS),3
CONGENITAL ADRENAL HYPERPLASIA,3
AGGRESSION,3
CONGENITAL MYOTONIC DYSTROPHY,3
HEPATITIS D,3
CONTRACEPTION,3
NEUROCOGNITIVE DISORDERS,3
HIP FRACTURE,3
SYNOVIAL SARCOMA,3
CUTANEOUS T-CELL LYMPHOMA (CTCL),3
MYOTUBULAR MYOPATHY,3
MYOCARDIAL PERFUSION,3
DISCOID LUPUS ERYTHEMATOSUS,3
SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS,3
MUCOPOLYSACCHARIDOSIS IVA (MORQUIO  SYNDROME),3
ALLOGRAFT DYSFUNCTION,3
HYPOCHONDROPLASIA,3
EPISODIC CLUSTER HEADACHE,3
DRUG ADDICTION,3
MITOCHONDRIAL DISORDERS,3
MICROSCOPIC POLYANGITIS,3
IMMUNE-RELATED COLITIS,3
METHICILLIN-RESISTANT STAPHYLOCOCCUS AUREUS (MRSA),3
ENTEROBACTERIACEAE,3
METASTATIC ENDOMETRIAL CANCER,3
METASTATIC CEA-POSITIVE SOLID TUMORS,3
HYPERINSULINEMIA,3
ECTONUCLEOTIDE PYROPHOSPHATASE/PHOSPHODIESTERASE 1 (ENPP1) DEFICIENCY,3
MENINGITIS B,3
HIGH GRADE SQUAMOUS INTRAEPITHELIAL LESION (HSIL) OF THE CERVIX,3
STREPTOCOCCAL INFECTION,3
STEATOHEPATITIS NON-ALCOHOLIC,3
