Manufacturer,Drug Count,Rank
DAY ONE BIOPHARMACEUTICALS INC,4,295
ID BIOMEDICAL CORPORATION OF QUEBEC,4,296
MONTREAL NEUROLOGICAL INSTITUTE,4,297
MOMENTA PHARMACEUTICALS INC,4,298
"DERMAVANT SCIENCES, INC",4,299
KALVISTA PHARMACEUTICALS LTD.,4,300
COLLABORATIVE NETWORK FOR NEURO-ONCOLOGY CLINICAL TRIALS (CONNECT),4,301
SHIONOGI INC,4,302
ASCENTAGE PHARMA GROUP INC.,4,303
UNIVERSITÉ DE SHERBROOKE,4,304
NATIONAL INSTITUTE OF HEALTH,4,305
"KITE, A GILEAD COMPANY",4,306
AXOVANT SCIENCES LTD,4,307
ALK- ABELLO A/S,4,308
POPULATION HEALTH RESEARCH INSTITUTE,4,309
"MERSANA THERAPEUTICS, INC",4,310
ARBUTUS BIOPHARMA CORPORATION,4,311
NSABP FOUNDATION INC,4,312
PEDIATRIC BRAIN TUMOUR CONSORTIUM,4,313
PEPGEN INC.,4,314
MEDIVATION INC,4,315
VERASTEM INCORPORATED,4,316
RTOG FOUNDATION,4,317
SALIX PHARMACEUTICALS INC,4,318
"NUVALENT, INC.",4,319
ASCENDIS PHARMA ENDOCRINOLOGY DIVISION A/S,4,320
"EMALEX BIOSCIENCES, INC",4,321
UNIVERSITY OF OTTAWA HEART INSTITUTE,4,322
CELGENE INTERNATIONAL II SARL (CIS II),4,323
ATEA PHARMACEUTICALS INC,4,324
PHARMAESSENTIA CORPORATION,4,325
1GLOBE HEALTH INSTITUTE,4,326
ADAMAS PHARMACEUTICALS INC.,4,327
THE MEDICINES COMPANY,4,328
BLOORVIEW RESEARCH INSTITUTE,4,329
"BAUSCH HEALTH AMERICAS, INC.",4,330
IPSEN PHARMA,4,331
BELLUS HEALTH INC,4,332
EVELO BIOSCIENCES INC,4,333
ST. MICHAEL'S HOSPITAL UNITY HEALTH TORONTO,4,334
IPSEN BIOSCIENCE INC,4,335
BIOGEN IDEC MA INC,4,336
"USWM CT, LLC",4,337
EISAI LIMITED,4,338
AKCEA THERAPEUTICS INC,4,339
DR MATTHIAS FRIEDRICH,4,340
CHEMOCENTRYX INC,4,341
CENTRE INTÉGRÉ UNIVERSITAIRE DE SANTÉ ET DE SERVICES SOCIAUX,4,342
"ASTRIA THERAPEUTICS, INC.",4,343
"COGENT BIOSCIENCES, INC.",4,344
ASCENDIS PHARMA GROWTH DISORDERS A/S,4,345
"VERA THERAPEUTICS, INC",4,346
PRINCESS MARGARET HOSPITAL,4,347
ITALFARMACO S.P.A.,4,348
ESCIENT PHARMCEUTICALS INC,4,349
GB002 INC.,4,350
BIOHAVEN THERAPEUTICS LTD,3,351
CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,3,352
AKEBIA THERAPEUTICS INC,3,353
INMAGENE LLC,3,354
PROQR THERAPEUTICS IV BV,3,355
BEAT CHILDHOOD CANCER,3,356
ONYX THERAPEUTICS INC,3,357
SHATTUCK LABS INC,3,358
MITSUBISHI TANABE PHARMA DEVELOPMENT AMERICA INC,3,359
ALCON RESEARCH LIMITED,3,360
TORONTO WESTERN HOSPITAL,3,361
PROTALIX LTD,3,362
DR. JOSHUA D. ROSENBLAT,3,363
TETRA BIO-PHARMA INC.,3,364
"CUTANEA LIFE SCIENCES, INC",3,365
GILBERT BLAISE INC,3,366
DANA FARBER CANCER INSTITUTE,3,367
XENCOR INC.,3,368
DR. STEEVE PROVENCHER,3,369
DR STEPHANIE LHEUREUX,3,370
MEI PHARMA INC,3,371
VTV THERAPEUTICS LLC,3,372
INSTITUTO GRIFOLS S.A.,3,373
KYOWA KIRIN PHARMACEUTICAL DEVELOPMENT INC,3,374
MERUS B.V.,3,375
MERZ PHARMACEUTICALS GMBH,3,376
SUSTAINED THERAPEUTICS INC,3,377
PUMA BIOTECHNOLOGY INC,3,378
"ODONATE THERAPEUTICS, INC",3,379
CENTRE FOR PROBE DEVELOPMENT AND COMMERCIALIZATION,3,380
PHARMACYCLICS INC,3,381
CPC CLINICAL RESEARCH,3,382
