Sponsor,Total Protocols,Distinct Brands
"COGENT BIOSCIENCES, INC.",4,3
COHERUS BIOSCIENCES INC.,5,4
COLLABORATIVE NETWORK FOR NEURO-ONCOLOGY CLINICAL TRIALS (CONNECT),4,4
COLUMBIA UNIVERSITY,1,1
COMPASS PATHFINDER LIMITED,2,2
"CONCERT PHARMACEUTICALS, INC.",3,2
CONCORDIA LABORATORIES INC,1,1
CONCORDIA UNIVERSITY,2,1
"CONJUPRO BIOTHERAPEUTICS, INC",1,1
CONSCIOUS MIND CLINIC,1,1
CONSTELLATION PHARMACEUTICALS INC.,2,1
CONTINEUM THERAPEUTICS INC,1,1
CORBUS PHARMACEUTICALS INC,3,1
CORCEPT THERAPEUTICS INC,5,4
CORTENDO AB,1,1
CORVIA MEDICAL INC,1,1
CORVUS PHARMACEUTICALS INC,3,3
"CORXEL PHARMACEUTICALS, CO, LTD",1,1
COSMO TECHNOLOGIES LTD,1,1
COYA THERAPEUTICS,1,1
CPC CLINICAL RESEARCH,3,1
"CRESTONE, INC.",1,1
"CRINETICS PHARMACEUTICALS, INC.",1,1
CRISPR THERAPEUTICS AG,2,2
CRISPR THERAPEUTICS INC,7,7
CRITERIUM INC,1,1
CROMA-PHARMA,1,1
CROSS CANCER INSTITUTE,2,2
CROSS CANCER INSTITUTE - CANCER CARE ALBERTA,16,15
CRUCELL HOLLAND B.V.,1,1
CSL BEHRING,19,15
CSL BEHRING CANADA INC,2,2
CSL BEHRING GMBH,6,5
CTI BIOPHARMA CORP,1,1
CUBIST PHARMACEUTICALS CANADA INC.,3,1
CUBIST PHARMACEUTICALS LLC,2,2
"CUTANEA LIFE SCIENCES, INC",3,1
CYBIN THERAPEUTICS INC.,1,1
CYCLERION THERAPEUTICS INC,1,1
CYMABAY THERAPEUTICS INC,6,4
"CYTOKINETICS, INCORPORATED",15,10
CYTRX CORPORATION,1,1
DAIICHI SANKYO INC,27,24
DAIICHI SANKYO PHARMA DEVELOPMENT,4,3
"DALCOR PHARMA UKLTD, SWISS BRANCH",2,2
DALCOR PHARMACEUTICALS CANADA INC.,1,1
DALHOUSIE UNIVERSITY,2,2
DANA FARBER CANCER INSTITUTE,3,3
DAR CLINICAL RESEARCH INC,1,1
"DAVID KING BSC. MD, FRCPC",1,1
DAY ONE BIOPHARMACEUTICALS INC,4,4
DBV TECHNOLOGIES SA,9,6
DEBIOPHARM INTERNATIONAL SA,3,3
DECIPHERA PHARMACEUTICALS. LLC,7,5
DEFENCE THERAPEUTICS INC.,1,1
DEINOVE,1,1
DENALI THERAPEUTICS INC.,3,1
DENOVO BIOPHARMA LLC,2,2
DERMA SCIENCES CANADA INC.,1,1
DERMAVANT SCIENCES GMBH,7,3
DERMAVANT SCIENCES LTD,1,1
"DERMAVANT SCIENCES, INC",4,1
DERMIRA INCORPORATED,12,5
DESENTUM OY,2,1
"DESIGN THERAPEUTICS, INC.",1,1
DIAMEDICA INC,1,1
DIAMOND THERAPEUTICS,1,1
"DIANTHUS THERAPEUTICS, INC",2,1
"DICE THERAPEUTICS, INC.",2,2
DICERNA PHARMACEUTICALS INC,3,2
DIMENSION THERAPEUTICS,1,1
"DISC MEDICINE, INC.",2,2
"DIVISION OF ALLERGY, IMMUNOLOGY, AND TRANSPLANTATION; NIAID NIH",2,2
DIZAL (JIANGSU) PHARMACEUTICAL CO. LTD,2,2
"DNATRIX, INC",2,2
DOMPÉ FARMACEUTICI S.P.A.,1,1
DOUGLAS FRASER,1,1
DOUGLAS MENTAL HEALTH UNIVERSITY INSTITUTE,9,6
DOW PHARMACEUTICAL SCIENCES,4,2
DOW PHARMACEUTICAL SCIENCES INC,2,2
"DOW PHARMACEUTICAL SCIENCES, A DIV OF VALEANT PHARMACEUTICALS NORTH AMERICA LLC",1,1
DR AHTSHAM U NIAZI,1,1
DR ALESSANDRO DORIA,2,2
DR ALICE WEI,1,1
DR ANDREW BAKER,1,1
DR ANNE CONLIN,2,1
DR ANTHONY V D'AMICO,1,1
DR ARTUELA CAKU,1,1
DR ASIM CHEEMA,1,1
DR BELINA CARRANZA MAMANE,1,1
DR BENICIO FREY,1,1
DR BEVERLY CATHARINE CRAVEN,1,1
DR BLAYNE WELK,1,1
DR BRUNO GAGNON,1,1
DR CHRISTIAN SCHUTZ,1,1
DR CHRISTOPHER ALMOND,1,1
DR CYNTHIA CALKIN,1,1
DR DAREN HEYLAND,2,2
DR DAVID PALMA,2,2
DR DAVID SPANER,1,1
DR DAVID Z I CHERNEY,2,2
DR DENIS O'DONNELL,1,1
DR DENNIS JENSEN,1,1
DR ELIZABETH FINGER,2,1
DR ELIZABETH TULLIS,1,1
DR EVDOKIA ANAGNOSTOU,3,3
DR FRANCOIS CORBIN,2,1
DR FRANÇOIS MADORE,1,1
DR GARY ANDOLFATTO,2,1
DR GELAREH ZADEH,1,1
DR GEORGE MEDVEDEV,1,1
DR HAIM ARIE ABENHAIM,1,1
DR JEAN-LUC ARDILOUZE,1,1
DR JEAN-PIERRE ROUTY,3,3
DR JEFFREY MEYER,1,1
DR JEREMY ROAD,1,1
DR JIM CHRISTENSON,1,1
DR JOHANNES A (BERTUS) EKSTEEN,1,1
DR JOHN KIRBY,1,1
DR JONATHAN BEAUDOIN,2,2
DR JONATHAN GAMBLE,1,1
DR JONATHAN YOUNG,1,1
DR JULIE-ANN VAN KOUGHNETT,1,1
DR KANECIA ZIMMERMAN,1,1
DR KENNETH MADDEN,1,1
DR MAGDY SELIM,1,1
DR MANDAR JOG,1,1
DR MARIE BUSSIERES,1,1
DR MATTHIAS FRIEDRICH,4,2
