protocol_id,protocol_no,submission_no,status_id,start_date,end_date,nol_date,protocol_title,medConditionList,studyPopulationList
52327,18-6296,226052,3,,,2019-05-02,INVESTIGATING THE PLASMA LIPOPROTEIN RESPONSE TO A SINGLE SUBCUTANEOUS DOSE OF ANALOGUE GLUCAGON-LIKE PEPTIDE-2 AND ORAL GLUCOSE IN HUMANS,"[{'med_condition_id': 1234, 'med_condition': 'POSTPRANDIAL HYPERLIPIDEMIA'}]","[{'study_population_id': 1, 'study_population': 'ADULT MALE'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}]"
52334,IM011073,226084,2,2020-09-23,2021-09-17,2019-04-24,"A PHASE 2, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED EVALUATION OF THE SAFETY AND EFFICACY OF BMS-986165 WITH BACKGROUND TREATMENT IN SUBJECTS WITH LUPUS NEPHRITIS","[{'med_condition_id': 681, 'med_condition': 'LUPUS NEPHRITIS'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
75523,INCB018424-325,297037,1,2025-08-27,,2025-06-05,"A PHASE 3, DOUBLE-BLIND, RANDOMIZED, VEHICLE-CONTROLLED, EFFICACY AND SAFETY STUDY OF RUXOLITINIB CREAM IN PARTICIPANTS WITH HIDRADENITIS SUPPURATIVA: TOPICAL RUXOLITINIB EVALUATION IN HIDRADENITIS SUPPURATIVA (TRUE-HS2)","[{'med_condition_id': 112, 'med_condition': 'HIDRADENITIS SUPPURATIVA'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 3, 'study_population': 'PEDIATRIC'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
72323,TOL2506A-EXT,287569,3,,,2024-07-16,"OPEN-LABEL, SAFETY EXTENSION STUDY FOR SUBJECTS WITH HORMONE-RECEPTOR-POSITIVE (HR+), HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER2)-NEGATIVE BREAST CANCER WHO HAVE COMPLETED THE OVARIAN SUPPRESSION EVALUATING SUBCUTANEOUS LEUPROLIDE ACETATE IN BREAST CANCER (OVELIA) STUDY.","[{'med_condition_id': 28, 'med_condition': 'BREAST CANCER'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
75501,D6974C00001,297778,1,2025-12-02,,2025-06-03,"A RANDOMISED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP STUDY TO ASSESS THE EFFICACY AND SAFETY OF BAXDROSTAT IN ADULT PARTICIPANTS WITH PRIMARY ALDOSTERONISM","[{'med_condition_id': 1344, 'med_condition': 'PRIMARY ALDOSTERONISM'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
73116,MET002-24-101 (MES-P7-826),290472,2,2025-02-28,2025-05-24,2024-10-16,"A DOUBLE-BLIND, SINGLE AND MULTIPLE ASCENDING DOSE AND FORMULATION STUDY TO INVESTIGATE THE SAFETY, TOLERABILITY, PHARMACOKINETICS, AND PHARMACODYNAMICS OF MET002 IN OVERWEIGHT/OBESE BUT OTHERWISE HEALTHY ADULT PARTICIPANTS","[{'med_condition_id': 415, 'med_condition': 'OVERWEIGHT/OBESITY'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
75985,M602011085/MINT-E,299093,1,2026-03-04,,2025-07-16,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, MULTICENTER, CLINICAL TRIALWITH EXTENSION PERIOD TO EVALUATE THE EFFICACY AND SAFETY OF XEOMIN® INJECTIONSFOR THE PREVENTION OF EPISODIC MIGRAINE","[{'med_condition_id': 663, 'med_condition': 'EPISODIC MIGRAINE'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
76134,LPS18583,299432,1,2026-03-14,,2025-08-15,"A RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED STUDY TO EVALUATE THE EFFECT OFDUPILUMAB ON AIRWAY INFLAMMATION THROUGH ASSESSMENTS OF MUCUS PLUGGING ANDOTHER LUNG IMAGING PARAMETERS IN PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE","[{'med_condition_id': 47, 'med_condition': 'CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
74349,RIVA SVT-5188,294494,1,2025-08-06,,2025-02-20,A PILOT RANDOMIZED DOUBLE-BLINDED COMPARISON OF FULL TREATMENT DOSE RIVAROXABAN FOR 90 DAYS TO PROPHYLACTIC DOSE RIVAROXABAN FOR 45 DAYS IN PATIENTS WITH LOWER EXTREMITY SUPERFICIAL VEIN THROMBOSIS ¿ RIVA SVT,"[{'med_condition_id': 526, 'med_condition': 'SYMPTOMATIC LEG SUPERFICIAL VEIN THROMBOSIS'}]","[{'study_population_id': 1, 'study_population': 'ADULT MALE'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}]"
76467,21467,299388,3,,,2025-08-29,"A PHASE 3, SINGLE-ARM, OPEN-LABEL EXTENSION STUDY TO EVALUATE THE SAFETY OF FINERENONE IN ADDITION TO STANDARD OF CARE, IN PEDIATRIC HEART FAILURE PATIENTS, FROM BIRTH TO 18 YEARS OF AGE, WITH LEFT VENTRICULAR SYSTOLIC DYSFUNCTION (LVSD)","[{'med_condition_id': 421, 'med_condition': 'HEART FAILURE'}]","[{'study_population_id': 3, 'study_population': 'PEDIATRIC'}]"
